SMILES,MIC
O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)OC)C6=C1C=CC=C6)OC,64.0
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4O)=NN=C3C5=CC=CC6=CC=CC=C65,128.0
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC(F)=C4)=NN=C3C5=CC=CC6=CC=CC=C65,4.0
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4)=NN=C3C5=CC=CC6=CC=CC=C65,128.0
CCN1C(SCC2=CC(=O)OC3=C(C)C=C(C)C=C23)=NN=C1C1=CC=CS1,2.5
O=[N+]([O-])C1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],8.0
[H]C1=CC=C(C=C1[N+]([O-])=O)CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,8.0
ClC1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],8.0
[H]C1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1Cl,16.0
BrC1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],16.0
[H]C1=CC=C(C=C1[H])CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,8.0
[H]C1=CC(CN2C=C(N=N2)COC(C(C=CC=C3)=C3O4)=CC4=O)=CC=C1[N+]([O-])=O,8.0
O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C([H])C([N+]([O-])=O)=C4)=C1,8.0
O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C(Cl)C([H])=C4)=C1,16.0
O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C([H])C(Cl)=C4)=C1,8.0
O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C(Br)C([H])=C4)=C1,16.0
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=CC=C4,200.0
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=C([N+]([O-])=O)C=C4,200.0
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=C(OC)C=C4,600.0
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC(O)=CC=C4,170.0
