,Smile格式,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,,细胞毒性 IC50,,,,溶血 HC10   ,EC50,CC50,期刊名、卷、页码,其他数据如：MBC,文献原始数据截图,备注,,,,,,,,,,
,,3o：R = 4 - COOH,,2.0×10⁵,1.2×10⁵,,,,2.0×10⁵,1.2×10⁵,2.0×10⁵,1.2×10⁵,0.57915,,,,,,,,,,多的MIC,,,,,,,,,,
1462,,, S.aureus,B.subtilis,M.luteus,MRSA,,E.coli(DH52),E.coli JM109,S.dysenterie,P.Aeruginosa,S.typhi,IC50（μg/ml）,,,,,,,European Journal of Medicinal Chemistry 150 (2018) 228e247,,, B.Proteus,,,,,,,,,,
,CCOC1=CC=C2N3C(SC2=C1)=NC(C4=CC=CC=C4)=C3CO(C5=CN(CC6=CC=CC(F)=C6)N=N5)C,5n，R1=-OEt，R2=H，R3=F，R4=H,128,128,128,16,,16,128,128,64,32,＜100μg/ml,,,,,,,,,,64,,,,,,,,,,
1464,,,S.aureus,,,,,,,,,,IC50，TGase of A.baumannii.,,,,,,,European Journal of Medicinal Chemistry 150 (2018) 729e741,,,,,,,,,,,,,
,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,,4.221,,,,,,,,,,155.44±32.83,,,,,,,,,,,,,,,,,,,,
,O=C(OCC)[C@H](OCC1=CN(CCCCCCCCCCCC)N=N1)CP(OCCCNCC2=CC=C3C=CC=CC3=C2)(O)=O,,4.0572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(C)CC(C=C2)=CC=C2C3=CC=CC=C3,8，R=Et，Y=Me,4.3092,,,,,,,,,,104.652±0.025855,,,,,,,,,,,,,,,,,,,,
,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(CC2=CC=C(C3=CC=CC=C3)C=C2)CC(C=C4)=CC=C4C5=CC=CC=C5,9，R=Et，Y=BiPh-4-CH2,374.8,,,,,,,,,,81.519±43.102,,,,,,,,,,,,,,,,,,,,
,O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,,4.0572,,,,,,,,,,101.108±2.576,,,,,,,,,,,,,,,,,,,,
1466,,,"S.aureus ATCC
43300
(MRSA)",,,,,"E.coli ATCC
25922","P. aeruginosa ATCC
27853","K pneumoniae ATCC
700603","  A. baumannii   ATCC
  19606",,,,,,,,"(HEK-293)
ATCC
CRL-1573",European Journal of Medicinal Chemistry 168 (2019) 386e404,,,,,,,,,,,,,
,,38 AA=Lys，R=Bn，Biphenyl,16,,,,,>32,32,>32,32,,,,,,,,14.2,,,,,,,,,,,,,,
,,39 AA=Lys，R=PhEt，Biphenyl,16,,,,,32,32,32,  >32,,,,,,,,4.8,,,,,,,,,,,,,,
,,40 AA=Lys，R=OBn，Biphenyl,16,,,,,32,32,>32,32,,,,,,,,4.7,,,,,,,,,,,,,,
,,41 AA=Arg，R=Bn，Biphenyl,16,,,,,>32,>32,>32,  >32,,,,,,,,29,,,,,,,,,,,,,,
,,42 AA=Arg，R=PhEt，Biphenyl,16,,,,,>32,>32,>32,  >32,,,,,,,,>32,,,,,,,,,,,,,,
,,43 AA=Arg，R=OBn，Biphenyl,8,,,,,>32,>32,>32,  >32,,,,,,,,>32,,,,,,,,,,,,,,
,,44 AA=Lys，R=Bn，S-Binaphthyl,8,,,,,>32,>32,>32,  >32,,,,,,,,8.6,,,,,,,,,,,,,,
,,45 AA=Lys，R=OBn，S-Binaphthyl,4,,,,,>32,>32,>32,  >32,,,,,,,,3.5,,,,,,,,,,,,,,
,,61 AA=Arg，R=Bn，S-Binaphthyl,4,,,,,>32,>32,>32,  >32,,,,,,,,16.5,,,,,,,,,,,,,,
,,62 AA=Arg，R=PhEt，S-Binaphthyl,4,,,,,>32,>32,>32,  >32,,,,,,,,15.9,,,,,,,,,,,,,,
,,63 AA=Arg，R=OBn，S-Binaphthyl,4,,,,,>32,>32,>32,  >32,,,,,,,,13.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CC50,,,,,,,,,,,,,,
,,68 R=Bn，Biphenyl,4,,,,,16,32,32,32,,,,,,,,32,,,,,,,,,,,,,,
,,69 R=Fmo，Biphenyl,4,,,,,>32,>32,>32,  >32,,,,,,,,  >32,,,,,,,,,,,,,,
,,70 R=Bn，S-Binaphthyl,2,,,,,8,16,32,32,,,,,,,,12.1,,,,,,,,,,,,,,
,,71 R=PhEt，S-Binaphthyl,2,,,,,8,16,32,32,,,,,,,,27.4,,,,,,,,,,,,,,
1484,,,S.aureus,,,,,E.coli,Paeruginosa,Pvulgaris,,,DPPH,,,,,,,Chemical Data Collections 32 (2021) 100651 ,,,,,,,,,,,,,
R=,O=C(OCC1=CN(CC2=CC=CC=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,99.89712,,,,,99.89712,499.4856,0,,,21.9748,,,,,,,,,,,,,,,,,,,,
,O=C(OCC1=CN(CC2=CC=CC=C2F)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,499.51085,,,,,499.51085,499.51085,499.51085,,,7.99033,,,,,,,,,,,,,,,,,,,,
,O=C(OCC1=CN(CC2=CC=CC(F)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,499.51085,,,,,49.94899,49.94899,49.94899,,,2.99585,,,,,,,,,,,,,,,,,,,,
,CC1=CC=C2OC=C(/C=C/C(=O)OCC3=CN(C4=CC=C(F)C=C4)N=N3)C(=O)C2=C1,,499.51085,,,,,499.51085,499.51085,499.51085,,,14.98344,,,,,,,,,,,,,,,,,,,,
,O=C(OCC1=CN(CC2=CC=CC(Cl)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,99.916765,,,,,99.916765,99.916765,499.583825,,,17.981795,,,,,,,,,,,,,,,,,,,,
,O=C(OCC1=CN(CC2=CC=C(Cl)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,99.916765,,,,,99.916765,49.956205,499.583825,,,8.98872,,,,,,,,,,,,,,,,,,,,
,O=C(OCC1=CN(CC2=CC=CC=C2C)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,998.9382,,,,,998.9382,998.9382,998.9382,,,7.98875,,,,,,,,,,,,,,,,,,,,
,O=C(OCC1=CN(CC2=CC=CC(C)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,499.4691,,,,,99.8905,99.8905,99.8905,,,99.8905,,,,,,,,,,,,,,,,,,,,
,O=C(OCC1=CN(CC2=CC=C(C)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,499.4691,,,,,499.4691,499.4691,499.4691,,,19.9781,,,,,,,,,,,,,,,,,,,,
,O=C(OCC1=CN(CC2=CC=C(Cl)C=C2Cl)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,,49.9657,,,,,49.9657,49.9657,499.6805,,,9.9922,,,,,,,,,,,,,,,,,,,,
1486,,,S.aureus(μg/mL),M.tuberculosis（μg/mL）,,,,"E.Coli
(ug/mL)", P.aeruginosa,,,,VERO cell lines IC50(μg/ml),,,,,,," ChemistrySelect2019,4,2685–2693",,,,,,,,,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1COCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3,,12.5,6.25,,,,25,25,,,,>3000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(OC)C=C4)=O)N=N3)=O,,6.25,1.6,,,,12.5,6.25,,,,>1500,,,,,,,,,,,,,,,,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3)=O,,6.25,1.6,,,,6.25,6.25,,,,>3000,,,,,,,,,,,,,,,,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C([N+]([O-])=O)C=C4)=O)N=N3)=O,,6.25,6.25,,,,25,50,,,,>2500,,,,,,,,,,,,,,,,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=CC=C4)=O)N=N3)=O,,12.5,6.25,,,,25,25,,,,>2800,,,,,,,,,,,,,,,,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(OC)C=C4)N=N3)=O,,6.25,1.6,,,,12.5,12.5,,,,>1500,,,,,,,,,,,,,,,,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=CC=C4)N=N3)=O,,6.25,1.6,,,,12.5,6.25,,,,>1500,,,,,,,,,,,,,,,,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(C#N)C=C4)N=N3)=O,,6.25,1.6,,,,6.25,6.25,,,,>800,,,,,,,,,,,多的EC50,,,,,,,,,
1511,,,,,,,,,,,,,,,,,溶血 HC10   ,,CC50," Antibiotics 2021, 10, 913.",,,,,,,,,,,,,
,,36 R1=H，R2=i-pent，R3=Bn,32,32,128,128,,128,64,16,,,,,,,>32,,>32,,,,,,,,,,,,,,
,,37 R1=i-pent，R2=H，R3=Cy,16,32,64,64,,64,16,8,,,,,,,>32,,>32,,,,,,,,,,,,,,
,,38 R1=i-pent，R2=H，R3=CH₂Cy,128,128,128,>128,,>128,>128,128,,,,,,,32,,32,,,,,,,,,,,,,,
,,39 R1=i-pent，R2=H，R3=Bn,32,64,64,32,,128,32,16,,,,,,,>32,,>32,,,,,,,,,,,,,,
,,40 R1=H，R2=i-pent，R3=Cy,16,16,8,8,,64,32,16,,,,,,,32,,32,,,,,,,,,,,,,,
,,41 R1=H，R2=i-pent，R3=CH₂Cy,8,8,16,16,,128,8,16,,,,,,,32,,16,,,,,,,,,,,,,,
,,42 R1=H，R2=i-pent，R3=Bn,8,8,8,8,,32,8,8,,,,,,,32,,32,,,,,,,,,,,,,,
,,43 R1=i-pent，R2=H，R3=Cy,16,16,128,128,,64,64,4,,,,,,,>32,,>32,,,,,,,,,,,,,,
,,44 R1=i-pent，R2=H，R3=CH₂Cy,8,4,32,32,,64,16,4,,,,,,,＞32,,＞32,,,,,,,,,,,,,,
,,45 R1=i-pent，R2=H，R3=Bn,16,16,128,128,,128,64,4,,,,,,,＞32,,＞32,,,,,,,,,,,,,,
,,46 R1=None，R2=None，R3=Bn,32,32,128,128,,128,64,16,,,,,,,＞32,,＞32,,,,,,,,,,,,,,
,,47 R1=None，R2=None，R3=Bn,32,32,128,128,,128,64,16,,,,,,,＞32,,＞32,,,,,,,,,,,,,,
,,48 R1=None，R2=None，R3=Cy,>32,＞32,＞32,＞32,,＞32,＞32,＞32,,,,,,,24.5,,＞32,,,,,,,,,,,,,,
,,49 R1=None，R2=None，R3=CH₂Cy,32,＞32,＞32,＞32,,＞32,＞32,＞32,,,,,,,17.1,,＞32,,,,,,,,,,,,,,
,,50 R1=None，R2=None，R3=Bn,32,＞32,＞32,＞32,,＞32,＞32,＞32,,,,,,,19.8,,＞32,,,,,,,,,,,,,,
