step,mean_reward,valid_rate,triazole_rate
540,0.578694,0.781250,0.906250
541,0.566835,0.835938,0.921875
542,0.577362,0.859375,0.945312
543,0.574210,0.804688,0.882812
544,0.570062,0.750000,0.898438
545,0.570753,0.828125,0.937500
546,0.577269,0.804688,0.914062
547,0.581022,0.867188,0.953125
548,0.575394,0.796875,0.921875
549,0.575671,0.812500,0.945312
550,0.573958,0.804688,0.945312
551,0.577508,0.851562,0.945312
552,0.575783,0.890625,0.953125
553,0.574670,0.843750,0.937500
554,0.576717,0.843750,0.937500
555,0.566260,0.828125,0.945312
556,0.576951,0.796875,0.890625
557,0.571460,0.812500,0.914062
558,0.574893,0.742188,0.890625
559,0.570134,0.757812,0.914062
560,0.569423,0.820312,0.906250
561,0.570815,0.898438,0.968750
562,0.576550,0.851562,0.960938
563,0.578547,0.812500,0.890625
564,0.566194,0.789062,0.875000
565,0.571266,0.851562,0.921875
566,0.574515,0.757812,0.906250
567,0.580797,0.773438,0.875000
568,0.578932,0.734375,0.875000
569,0.579410,0.929688,0.968750
570,0.577844,0.812500,0.929688
571,0.584543,0.828125,0.921875
572,0.585422,0.820312,0.960938
573,0.567108,0.812500,0.945312
574,0.574400,0.804688,0.953125
575,0.577331,0.812500,0.937500
576,0.574395,0.796875,0.921875
577,0.579716,0.812500,0.929688
578,0.581643,0.765625,0.906250
579,0.572579,0.820312,0.898438
580,0.571621,0.789062,0.945312
581,0.576368,0.812500,0.945312
582,0.574447,0.796875,0.960938
583,0.584045,0.781250,0.898438
584,0.574575,0.820312,0.914062
585,0.574584,0.835938,0.945312
586,0.576591,0.867188,0.937500
587,0.581682,0.789062,0.906250
588,0.584192,0.843750,0.929688
589,0.586240,0.804688,0.937500
590,0.579589,0.859375,0.953125
591,0.578414,0.804688,0.929688
592,0.581748,0.828125,0.953125
593,0.581128,0.859375,0.968750
594,0.576531,0.843750,0.937500
595,0.573846,0.820312,0.914062
596,0.575493,0.804688,0.921875
597,0.585872,0.789062,0.953125
598,0.584740,0.851562,0.937500
599,0.578907,0.804688,0.882812
600,0.578055,0.804688,0.937500
601,0.573495,0.835938,0.945312
602,0.580371,0.804688,0.890625
603,0.580094,0.789062,0.929688
604,0.586240,0.789062,0.882812
605,0.574383,0.796875,0.906250
606,0.590478,0.812500,0.937500
607,0.565666,0.789062,0.945312
608,0.582075,0.726562,0.906250
609,0.575882,0.804688,0.875000
610,0.583546,0.820312,0.929688
611,0.581531,0.804688,0.921875
612,0.583276,0.750000,0.867188
613,0.574358,0.734375,0.898438
614,0.575169,0.820312,0.921875
615,0.581013,0.773438,0.898438
616,0.586551,0.781250,0.882812
617,0.581590,0.734375,0.867188
618,0.584527,0.789062,0.921875
619,0.576801,0.750000,0.906250
620,0.577339,0.804688,0.945312
621,0.574099,0.882812,0.929688
622,0.586272,0.851562,0.914062
623,0.572975,0.742188,0.898438
624,0.591627,0.750000,0.906250
625,0.580725,0.773438,0.890625
626,0.584072,0.750000,0.914062
627,0.574799,0.757812,0.914062
628,0.581800,0.820312,0.906250
629,0.589904,0.796875,0.890625
630,0.588201,0.710938,0.859375
631,0.580869,0.812500,0.914062
632,0.582223,0.750000,0.875000
633,0.577586,0.804688,0.906250
634,0.571773,0.781250,0.929688
635,0.582506,0.804688,0.914062
636,0.584968,0.804688,0.914062
637,0.571652,0.789062,0.890625
638,0.591265,0.828125,0.914062
639,0.578476,0.789062,0.890625
640,0.581517,0.765625,0.914062
641,0.576354,0.843750,0.937500
642,0.585004,0.742188,0.914062
643,0.579420,0.765625,0.882812
644,0.584560,0.773438,0.890625
645,0.588060,0.812500,0.945312
646,0.591282,0.796875,0.882812
647,0.574510,0.820312,0.929688
648,0.587404,0.804688,0.898438
649,0.576984,0.835938,0.921875
650,0.581356,0.789062,0.906250
651,0.579209,0.781250,0.914062
652,0.587978,0.835938,0.960938
653,0.583933,0.734375,0.859375
654,0.575942,0.710938,0.867188
655,0.579955,0.796875,0.914062
656,0.587791,0.812500,0.898438
657,0.591096,0.781250,0.906250
658,0.582282,0.765625,0.859375
659,0.580395,0.773438,0.890625
660,0.586885,0.804688,0.945312
661,0.573815,0.750000,0.859375
662,0.579685,0.726562,0.898438
663,0.583229,0.773438,0.890625
664,0.575152,0.757812,0.882812
665,0.580934,0.750000,0.851562
666,0.586430,0.734375,0.890625
667,0.580284,0.820312,0.882812
668,0.580268,0.812500,0.890625
669,0.583506,0.734375,0.906250
670,0.582188,0.828125,0.906250
671,0.575815,0.804688,0.890625
672,0.585423,0.742188,0.867188
673,0.587877,0.812500,0.906250
674,0.586059,0.757812,0.914062
675,0.589392,0.671875,0.828125
676,0.581296,0.734375,0.843750
677,0.583867,0.710938,0.828125
678,0.594824,0.718750,0.828125
679,0.577563,0.812500,0.890625
680,0.579121,0.851562,0.921875
681,0.584810,0.828125,0.882812
682,0.580766,0.765625,0.906250
683,0.586462,0.765625,0.859375
684,0.584056,0.750000,0.867188
685,0.588890,0.765625,0.882812
686,0.591852,0.734375,0.867188
687,0.587938,0.750000,0.875000
688,0.581359,0.820312,0.968750
689,0.590822,0.742188,0.859375
690,0.585345,0.765625,0.882812
691,0.579648,0.703125,0.867188
692,0.588784,0.703125,0.867188
693,0.588301,0.742188,0.898438
694,0.588703,0.750000,0.867188
695,0.594727,0.750000,0.890625
696,0.589400,0.773438,0.890625
697,0.574244,0.765625,0.890625
698,0.588775,0.695312,0.882812
699,0.588028,0.710938,0.851562
700,0.581288,0.757812,0.875000
701,0.582778,0.773438,0.882812
702,0.586317,0.765625,0.859375
703,0.585942,0.781250,0.921875
704,0.582667,0.734375,0.875000
705,0.593699,0.765625,0.882812
706,0.594762,0.742188,0.843750
707,0.587560,0.804688,0.906250
708,0.584431,0.781250,0.921875
709,0.586283,0.687500,0.851562
710,0.592900,0.750000,0.890625
711,0.589267,0.710938,0.875000
712,0.589894,0.710938,0.867188
713,0.581288,0.773438,0.875000
714,0.588553,0.718750,0.851562
715,0.579814,0.695312,0.859375
716,0.583564,0.718750,0.890625
717,0.589387,0.687500,0.882812
718,0.585427,0.734375,0.867188
719,0.586907,0.726562,0.890625
720,0.584930,0.726562,0.890625
721,0.590538,0.695312,0.875000
722,0.591185,0.632812,0.765625
723,0.580549,0.781250,0.882812
724,0.585466,0.757812,0.882812
725,0.586522,0.679688,0.890625
726,0.587902,0.765625,0.921875
727,0.585242,0.750000,0.906250
728,0.589409,0.695312,0.867188
729,0.587871,0.773438,0.890625
730,0.587569,0.695312,0.859375
731,0.595198,0.765625,0.898438
732,0.590897,0.757812,0.882812
733,0.585382,0.710938,0.890625
734,0.586603,0.750000,0.867188
735,0.583871,0.703125,0.851562
736,0.583560,0.656250,0.828125
737,0.578601,0.757812,0.882812
738,0.593659,0.695312,0.851562
739,0.584430,0.656250,0.843750
740,0.589111,0.718750,0.804688
741,0.587796,0.718750,0.898438
742,0.595002,0.734375,0.906250
743,0.595289,0.671875,0.789062
744,0.586965,0.718750,0.843750
745,0.588375,0.773438,0.914062
746,0.579741,0.710938,0.882812
747,0.594394,0.734375,0.859375
748,0.586654,0.703125,0.828125
749,0.578409,0.718750,0.828125
750,0.588062,0.750000,0.851562
751,0.592560,0.757812,0.859375
752,0.587872,0.656250,0.820312
753,0.592058,0.710938,0.898438
754,0.600070,0.632812,0.867188
755,0.593203,0.710938,0.914062
756,0.586498,0.742188,0.867188
757,0.593940,0.750000,0.890625
758,0.587292,0.750000,0.890625
759,0.590277,0.671875,0.828125
760,0.587782,0.671875,0.789062
761,0.591279,0.664062,0.828125
762,0.582182,0.726562,0.828125
763,0.585279,0.726562,0.851562
764,0.584190,0.726562,0.914062
765,0.591965,0.687500,0.859375
766,0.589071,0.695312,0.804688
767,0.592236,0.710938,0.875000
768,0.584631,0.687500,0.859375
769,0.585654,0.679688,0.804688
770,0.590760,0.750000,0.828125
771,0.593881,0.757812,0.875000
772,0.582447,0.640625,0.828125
773,0.590443,0.757812,0.898438
774,0.594651,0.726562,0.828125
775,0.589825,0.695312,0.828125
776,0.595195,0.671875,0.828125
777,0.597288,0.734375,0.835938
778,0.587043,0.750000,0.859375
779,0.595711,0.687500,0.890625
780,0.590167,0.687500,0.820312
781,0.580903,0.632812,0.765625
782,0.585940,0.632812,0.828125
783,0.593927,0.648438,0.835938
784,0.591649,0.687500,0.882812
785,0.588297,0.648438,0.835938
786,0.587466,0.703125,0.898438
787,0.591706,0.609375,0.820312
788,0.589385,0.687500,0.804688
789,0.599493,0.757812,0.890625
790,0.592555,0.718750,0.835938
791,0.593960,0.687500,0.835938
792,0.589177,0.703125,0.843750
793,0.592164,0.679688,0.804688
794,0.598186,0.718750,0.828125
795,0.590771,0.640625,0.851562
796,0.594856,0.632812,0.859375
797,0.590543,0.664062,0.789062
798,0.592129,0.601562,0.789062
799,0.596731,0.703125,0.843750
800,0.588748,0.671875,0.812500
801,0.599215,0.718750,0.875000
802,0.592741,0.679688,0.812500
803,0.589562,0.632812,0.781250
804,0.598546,0.648438,0.835938
805,0.599487,0.679688,0.835938
806,0.584541,0.625000,0.742188
807,0.599491,0.679688,0.796875
808,0.595012,0.664062,0.820312
809,0.595639,0.679688,0.828125
810,0.590938,0.593750,0.789062
811,0.595295,0.656250,0.820312
812,0.601305,0.648438,0.835938
813,0.604898,0.703125,0.828125
814,0.588701,0.742188,0.867188
815,0.599722,0.765625,0.867188
816,0.598347,0.625000,0.835938
817,0.602176,0.632812,0.765625
818,0.589284,0.648438,0.820312
