step,mean_reward,valid_rate
824,0.303927,0.718750
825,0.328636,0.664062
826,0.311557,0.773438
827,0.316506,0.703125
828,0.317997,0.796875
829,0.330352,0.734375
830,0.319959,0.664062
831,0.312169,0.804688
832,0.320784,0.710938
833,0.323494,0.617188
834,0.314097,0.703125
835,0.335530,0.804688
836,0.325561,0.687500
837,0.312519,0.757812
838,0.329774,0.734375
839,0.323546,0.703125
840,0.330278,0.796875
841,0.318108,0.718750
842,0.341184,0.703125
843,0.329998,0.718750
844,0.328198,0.710938
845,0.328345,0.718750
846,0.325651,0.812500
847,0.323738,0.679688
848,0.318978,0.742188
849,0.330642,0.664062
850,0.331585,0.726562
851,0.325481,0.773438
852,0.340147,0.742188
853,0.321931,0.820312
854,0.336553,0.734375
855,0.341265,0.750000
856,0.321568,0.765625
857,0.334199,0.765625
858,0.336696,0.796875
859,0.336924,0.726562
860,0.344277,0.750000
861,0.338954,0.742188
862,0.349389,0.781250
863,0.338883,0.773438
864,0.334525,0.781250
865,0.343953,0.789062
866,0.336398,0.757812
867,0.339370,0.710938
868,0.344762,0.812500
869,0.336206,0.734375
870,0.354939,0.726562
871,0.339066,0.812500
872,0.358561,0.695312
873,0.347464,0.742188
874,0.339678,0.781250
875,0.346254,0.765625
876,0.353607,0.757812
877,0.349420,0.812500
878,0.341433,0.734375
879,0.353061,0.750000
880,0.348159,0.765625
881,0.365910,0.742188
882,0.343924,0.812500
883,0.344449,0.828125
884,0.347908,0.828125
885,0.339553,0.765625
886,0.343471,0.812500
887,0.349633,0.812500
888,0.359281,0.835938
889,0.349936,0.765625
890,0.355901,0.781250
891,0.379287,0.820312
892,0.372281,0.843750
893,0.356853,0.828125
894,0.370693,0.812500
895,0.372056,0.859375
896,0.376955,0.804688
897,0.372307,0.859375
898,0.371799,0.828125
899,0.375876,0.820312
900,0.376841,0.828125
901,0.371420,0.843750
902,0.372531,0.789062
903,0.377738,0.867188
904,0.390737,0.859375
905,0.375353,0.867188
906,0.394267,0.867188
907,0.384064,0.929688
908,0.381069,0.875000
909,0.395161,0.906250
910,0.398278,0.828125
911,0.394219,0.859375
912,0.410238,0.859375
913,0.403499,0.906250
914,0.399957,0.929688
915,0.405689,0.906250
916,0.410246,0.929688
917,0.415631,0.921875
918,0.404197,0.937500
919,0.402226,0.937500
920,0.409484,0.929688
921,0.412774,0.898438
922,0.404080,0.898438
923,0.416467,0.921875
924,0.406493,0.921875
925,0.391174,0.937500
926,0.421599,0.921875
927,0.418374,0.921875
928,0.416090,0.929688
929,0.427140,0.968750
930,0.424722,0.898438
931,0.410165,0.968750
932,0.423108,0.937500
933,0.426440,0.859375
934,0.420467,0.953125
935,0.429680,0.921875
936,0.434489,0.968750
937,0.426753,0.929688
938,0.427791,0.945312
939,0.439209,0.921875
940,0.439498,0.945312
941,0.433591,0.945312
942,0.423313,0.914062
943,0.432136,0.976562
944,0.429583,0.875000
945,0.437626,0.953125
946,0.433787,0.906250
947,0.440822,0.937500
948,0.435542,0.953125
949,0.438620,0.937500
950,0.438478,0.937500
951,0.427344,0.960938
952,0.435159,0.953125
953,0.429070,0.968750
954,0.446016,0.968750
955,0.436326,0.929688
956,0.438017,0.960938
957,0.444404,0.960938
958,0.447363,0.937500
959,0.442603,0.953125
960,0.436563,0.953125
961,0.438428,0.960938
962,0.439371,0.953125
963,0.441626,0.921875
964,0.441777,0.945312
965,0.436645,0.937500
966,0.450431,0.976562
967,0.446907,0.945312
968,0.451502,0.929688
969,0.451014,0.960938
970,0.451966,0.976562
971,0.449607,0.937500
972,0.447341,0.960938
973,0.440103,0.968750
974,0.441697,0.953125
975,0.445078,0.960938
976,0.452869,0.937500
