step,mean_reward,valid_rate,triazole_rate
727,0.773692,1.000000,1.000000
728,0.772154,0.984375,0.984375
729,0.774084,0.968750,0.968750
730,0.773759,0.976562,0.976562
731,0.772318,0.992188,0.992188
732,0.772066,0.976562,0.984375
733,0.774030,0.984375,0.984375
734,0.774188,0.984375,0.992188
735,0.774181,0.992188,0.992188
736,0.774146,0.984375,0.992188
737,0.774201,1.000000,1.000000
738,0.774214,0.968750,0.992188
739,0.772868,1.000000,1.000000
740,0.772198,0.992188,0.992188
741,0.774481,1.000000,1.000000
742,0.774530,0.992188,0.992188
743,0.774568,1.000000,1.000000
744,0.774473,1.000000,1.000000
745,0.774667,0.992188,0.992188
746,0.774713,0.976562,0.976562
747,0.774650,0.984375,0.992188
748,0.774816,0.984375,0.984375
749,0.774818,0.992188,1.000000
750,0.775010,0.968750,0.984375
751,0.774616,1.000000,1.000000
752,0.775007,1.000000,1.000000
753,0.774956,0.968750,0.968750
754,0.772479,0.984375,0.984375
755,0.774894,0.945312,0.945312
756,0.775016,1.000000,1.000000
757,0.773542,0.992188,0.992188
758,0.774993,0.984375,0.992188
759,0.775255,0.984375,0.992188
760,0.773604,0.992188,0.992188
761,0.775366,0.992188,0.992188
762,0.773331,0.984375,0.984375
763,0.775208,0.992188,0.992188
764,0.775345,0.992188,0.992188
765,0.773925,0.960938,0.968750
766,0.775657,0.992188,0.992188
767,0.773690,1.000000,1.000000
768,0.775840,0.984375,1.000000
769,0.775703,1.000000,1.000000
770,0.775598,0.992188,0.992188
771,0.775905,1.000000,1.000000
772,0.775716,0.984375,0.984375
773,0.776000,0.992188,0.992188
774,0.775750,0.968750,0.976562
775,0.775949,0.976562,0.984375
776,0.775907,0.984375,0.984375
777,0.776226,0.976562,0.976562
778,0.775836,0.992188,0.992188
779,0.776123,0.992188,0.992188
780,0.776352,0.960938,0.968750
781,0.776259,0.984375,0.984375
782,0.776193,1.000000,1.000000
783,0.776455,0.984375,0.984375
784,0.776173,0.968750,0.976562
785,0.776638,0.992188,0.992188
786,0.776411,0.992188,1.000000
787,0.776394,0.984375,0.984375
788,0.776485,1.000000,1.000000
789,0.776648,0.984375,0.992188
790,0.776501,0.976562,0.976562
791,0.774512,0.992188,0.992188
792,0.776671,0.992188,0.992188
793,0.777052,0.992188,0.992188
794,0.776839,0.960938,0.968750
795,0.776939,0.992188,0.992188
796,0.775153,0.984375,0.984375
797,0.777115,0.992188,0.992188
798,0.777267,0.976562,0.984375
799,0.777224,0.992188,0.992188
800,0.777260,1.000000,1.000000
801,0.777056,0.984375,0.984375
802,0.775116,0.976562,0.976562
803,0.777156,1.000000,1.000000
804,0.777049,0.992188,0.992188
805,0.777080,0.976562,0.976562
806,0.777217,1.000000,1.000000
807,0.777313,0.984375,0.984375
808,0.777073,1.000000,1.000000
809,0.777188,0.984375,0.984375
810,0.777245,0.984375,0.984375
811,0.777378,1.000000,1.000000
812,0.777336,0.984375,0.984375
813,0.777898,1.000000,1.000000
814,0.777665,0.960938,0.968750
815,0.777635,0.992188,0.992188
816,0.777611,0.992188,0.992188
817,0.777916,0.992188,0.992188
818,0.778061,0.984375,0.992188
