smiles,toxicity_label,n,counts_json
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CC=C3,低毒,3,"{""低毒"": 3}"
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C(OC)C=C3,低毒,3,"{""低毒"": 3}"
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C([N+]([O-])=O)C=C3,低毒,3,"{""低毒"": 3}"
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,低毒,1,"{""低毒"": 1}"
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,低毒,1,"{""低毒"": 1}"
O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)[O-],低毒,6,"{""低毒"": 5, ""微毒"": 1}"
O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)=C1)[O-],低毒,6,"{""低毒"": 5, ""微毒"": 1}"
COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5,低毒,6,"{""低毒"": 5, ""微毒"": 1}"
COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5,低毒,6,"{""低毒"": 5, ""微毒"": 1}"
O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],低毒,6,"{""低毒"": 5, ""微毒"": 1}"
O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],微毒,6,"{""低毒"": 5, ""微毒"": 1}"
O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CO5)=C2)[O-],低毒,2,"{""低毒"": 2}"
O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CO5)=C2)=C1)[O-],低毒,2,"{""低毒"": 2}"
O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CS5)=C2)[O-],低毒,2,"{""低毒"": 2}"
O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CS5)=C2)=C1)[O-],低毒,2,"{""低毒"": 2}"
S=C1NN=C(C2CC2)N1C1=CC=C(Cl)C=C1,低毒,1,"{""低毒"": 1}"
S=C1NN=C(C2CCCCC2)N1C1=CC=C(Cl)C=C1,低毒,1,"{""低毒"": 1}"
S=C1N(CN2CCCC2)N=C(C3CC3)N1C4=CC=C(Cl)C=C4,低毒,1,"{""低毒"": 1}"
S=C1N(CN2CCCCC2)N=C(C3CC3)N1C4=CC=C(Cl)C=C4,低毒,1,"{""低毒"": 1}"
S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4CC4)N1C5=CC=C(Cl)C=C5,低毒,1,"{""低毒"": 1}"
