SMILES,MIC,logMIC,is_active_<25,scaffold
SC1=NN=C(N1/N=C/C2=CC=C(Br)C=C2)C3=NC=CN=C3,50.0,1.6989700043360187,0,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC=C(Cl)C=C2)C3=NC=CN=C3,50.0,1.6989700043360187,0,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC=C(C)C=C2)C3=NC=CN=C3,25.0,1.3979400086720377,0,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC=C(Cl)C=C2Cl)C3=NC=CN=C3,50.0,1.6989700043360187,0,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC=C(OC)C(OC)=C2)C3=NC=CN=C3,12.5,1.0969100130080565,1,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C=C2OC)C3=NC=CN=C3,25.0,1.3979400086720377,0,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C(OC)=C2)C3=NC=CN=C3,12.5,1.0969100130080565,1,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC=CC=C2OC)C3=NC=CN=C3,25.0,1.3979400086720377,0,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC=CC=C2O)C3=NC=CN=C3,50.0,1.6989700043360187,0,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC=C(O)C=C2)C3=NC=CN=C3,1.56,0.1931245983544616,1,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C2=CC=C(O)C(O)=C2)C3=NC=CN=C3,25.0,1.3979400086720377,0,C(=N/n1cnnc1-c1cnccn1)\c1ccccc1
SC1=NN=C(N1/N=C/C=C/C2=CC=CC=C2)C3=NC=CN=C3,50.0,1.6989700043360187,0,C(=C/c1ccccc1)\C=N\n1cnnc1-c1cnccn1
C=C(CNN1C(=O)CSC1C1=CC=C(Br)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,25.0,1.3979400086720377,0,C=C(CNN1C(=O)CSC1c1ccccc1)NN1CNN=C1c1ccncc1
O=C(CNN1C(=O)CSC1C1=CC=C(F)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,3.125,0.494850021680094,1,O=C(CNN1C(=O)CSC1c1ccccc1)NN1CNN=C1c1ccncc1
O=C(CNN1C(=O)CS[C@H]1C1=CC=C(F)C=C1)NN1C(C2=CC=C(Cl)C=C2)=NN[C@@H]1S,6.25,0.7958800173440752,1,O=C(CNN1C(=O)CS[C@H]1c1ccccc1)NN1CNN=C1c1ccccc1
C[C@@H]1SC(C2=CC=C(Br)C=C2)C(NCC(=O)NN2C(C3=CC=C(Cl)C=C3)=NN[C@@H]2S)C1=O,12.5,1.0969100130080565,1,O=C(CNC1C(=O)CSC1c1ccccc1)NN1CNN=C1c1ccccc1
O=C(CNN1C(=O)CSC1C1=CC=CC=C1Cl)NN1C(C2=CC=NC=C2)=NNC1S,12.5,1.0969100130080565,1,O=C(CNN1C(=O)CSC1c1ccccc1)NN1CNN=C1c1ccncc1
O=C(O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,3.125,0.494850021680094,1,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12
O=C(CNN1C(=O)CSC1C1=C(Cl)C=CC=C1)NN1C(C2=CC=C([N+](=O)[O-])C=C2)=NN[C@@H]1S,6.25,0.7958800173440752,1,O=C(CNN1C(=O)CSC1c1ccccc1)NN1CNN=C1c1ccccc1
O=C1C(C(O)=O)=CN(C2=NC(N3C/C(C(C3)CN)=N\OC)=C(C=C12)F)C4CC4,12.5,1.0969100130080565,1,N=C1CCN(c2ccc3c(=O)ccn(C4CC4)c3n2)C1
S[C@@H]1N(NC(CNN2C(SCC2=O)C3=C(Cl)C=CC=C3)=O)C(C4=CC=C(Cl)C=C4)=NN1,25.0,1.3979400086720377,0,O=C(CNN1C(=O)CSC1c1ccccc1)NN1CNN=C1c1ccccc1
C[C@H]1COC2=C3C(=CC(F)=C2N2CCN(C)CC2)C(=O)C(C(=O)O)=CN31,12.5,1.0969100130080565,1,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2
CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CC=NC=C2)N1C,738.0,2.8680563618230415,0,c1cc(-c2nnc(SCCn3ccnc3)[nH]2)ccn1
COC1=CC=C(N2C(SCCN3C([N+](=O)[O-])=CN=C3C)=NN=C2C2=CC=NC=C2)C=C1,188.0,2.27415784926368,0,c1ccc(-n2c(SCCn3ccnc3)nnc2-c2ccncc2)cc1
CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CN=CC=C2)N1C1=C2C=CC=CC2=CC=C1,250.0,2.3979400086720375,0,c1cncc(-c2nnc(SCCn3ccnc3)n2-c2cccc3ccccc23)c1
[H]C1=C([H])C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,50.0,1.6989700043360187,0,C(=N\n1cnnc1)\c1ccccc1
[H]C1=C(C=O)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,25.0,1.3979400086720377,0,C(=N\n1cnnc1)\c1ccccc1
[H]C1=C(C)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,25.0,1.3979400086720377,0,C(=N\n1cnnc1)\c1ccccc1
[H]C1=C(OC)C(OC)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,25.0,1.3979400086720377,0,C(=N\n1cnnc1)\c1ccccc1
[H]C1=C(OC)C(OC)=C(OC)C=C1/C=N\N1C(S)=NN=C1CCCCCCCCCCCCCCC,12.5,1.0969100130080565,1,C(=N\n1cnnc1)\c1ccccc1
[H]C1=C(OC)C(O)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,50.0,1.6989700043360187,0,C(=N\n1cnnc1)\c1ccccc1
[H]C1=C([H])C([H])=C(O)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,50.0,1.6989700043360187,0,C(=N\n1cnnc1)\c1ccccc1
[H]C1=C(O)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,50.0,1.6989700043360187,0,C(=N\n1cnnc1)\c1ccccc1
[H]C1=C(N(C)C)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,25.0,1.3979400086720377,0,C(=N\n1cnnc1)\c1ccccc1
[H]C1=CC([H])=C(Cl)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,25.0,1.3979400086720377,0,C(=N\n1cnnc1)\c1ccccc1
[H]C1=C(Cl)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,25.0,1.3979400086720377,0,C(=N\n1cnnc1)\c1ccccc1
