SMILES,Ecoli_MIC_ugmL,Ecoli_logMIC
O=C(CNN1C(=O)CS[C@H]1C1=CC=C(F)C=C1)NN1C(C2=CC=C(Cl)C=C2)=NN[C@@H]1S,12.5,1.096910013
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=C(C=CC=C4)Cl)NC2=O,299.46,2.47633882
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)NC2=O,249.11,2.396391162
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)OC2=O,124.555,2.095361166
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=CC=C4)NC2=O,299.46,2.47633882
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=CC=C4)OC2=O,149.73,2.175308825
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(C)C=C4)OC2=O,156.98,2.195844325
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(Cl)C=C4)NC2=O,181.23,2.25823009
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC([N+]([O-])=O)=C4)OC2=O,146,2.164352856
O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC=C4)OC2=O,163.2,2.212720154
O=C(N(C1=C2C=CC=C1)CC3=CN=NN3C4=CC=C(C)C=C4)NC2=O,156.98,2.195844325
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=C(C)C=C6,50,1.698970004
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=C(F)C=C6,12.5,1.096910013
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=C([N+]([O-])=O)C=C6,50,1.698970004
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=CC=C6,50,1.698970004
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=NC=C6,50,1.698970004
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CN=CC=C6,100,2
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=C(C)C=C6,50,1.698970004
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=C(F)C=C6,12.5,1.096910013
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=C([N+]([O-])=O)C=C6,50,1.698970004
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=CC=C6,25,1.397940009
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=NC=C6,25,1.397940009
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CN=CC=C6,25,1.397940009
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4.C,25.23087,1.401932226
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,24.95281,1.39711946
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,25.1199,1.400017906
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],25.17312,1.400937046
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,25.11768,1.399979523
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,25.1118,1.399877844
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4,25.02468,1.398368533
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,25.0108,1.398127583
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,12.5229,1.097704913
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],12.49274,1.096657701
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,24.934,1.396791955
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,25.172,1.400917723
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4,25.1199,1.400017906
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,25.088,1.399466041
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,24.95281,1.39711946
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],24.82293,1.394853043
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,25.201,1.401417774
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,25.079,1.399310215
O=C(N1CCN(C2=CC=CC=C2)CC1)CN3N=NC(COC4=C5C=CC=CC5=CC=C4)=C3,24.99,1.397766256
O=C(N1CCN(C2=CC=CC=C2)CC1)CN3N=NC(COC4=CC=C(C5=CC=CC=C5)C=C4)=C3,12.49,1.096562438
O=C(N1CCN(C2=CC=CC=C2)CC1)CN3N=NC(COC4=CC=CC=C4)=C3,24.98,1.397592434
O=C(NC1=O)C2=C(C=CC=C2)N1CC3=CN=NN3C4=CC=CC=C4,329.6,2.517987203
O=C(NC1=O)N(CC2=CN(C3=CC=C(C=C3)OC)N=N2)C4=C1C=CC=C4,301,2.478566496
O=C(NCCNC(N)=[NH2+])C1=CN(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)N=N1,16,1.204119983
O=C(NCCNC(N)=[NH2+])C1=CN(C2=CC=C(OCCCCCCC)C=C2)N=N1,8,0.903089987
O=C(NCC[NH3+])C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2,16,1.204119983
O=C(O)C1=CC=C(N2N=NC(COC(C3=O)=CC(C4=C3C=CC=C4)=O)=C2)C=C1,1024,3.010299957
O=C(O)C1=CC=C(N2N=NC(COC3=CC(C(C)C)=CC=C3C)=C2)C=C1,1024,3.010299957
O=C(O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,25,1.397940009
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(Br)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,16,1.204119983
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(Cl)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,16,1.204119983
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(F)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,4,0.602059991
