,smiles,化合物结构,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,细胞毒性,期刊名、卷、页码,文献原始数据截图,备注,,
,,,3c：R = 4 - Me,,2.5×10⁵,2.0×10⁵,,,,2.5×10⁵,2.0×10⁵,2.0×10⁵,高毒,,,,,
,,,3d：R = 2 - OMe,,1.5×10⁵,1.9×10⁵,,,,9.9×10⁴,1.9×10⁵,4.9×10⁴,高毒,,,,,
,,,3e：R = 4 - OMe,,2.5×10⁵,1.9×10⁵,,,,2.5×10⁵,1.9×10⁵,1.9×10⁵,高毒,,,,,
,,,3f：R = 2 - Cl,,5.0×10⁴,5.0×10⁴,,,,5.0×10⁴,1.2×10⁵,5.0×10⁴,高毒,,,,,
,,,3g：R = 3 - Cl,,1.9×10⁵,2.5×10⁵,,,,1.2×10⁵,2.5×10⁵,9.9×10⁴,高毒,,,,,
,,,3h：R = 4 - Cl,,1.2×10⁵,5.0×10⁴,,,,5.0×10⁴,5.0×10⁴,1.9×10⁵,高毒,,,,,
,,,"3i：R = 2,4,5 - tri - Cl",,6.2×10⁴,1.9×10⁵,,,,6.2×10⁴,1.2×10⁵,6.2×10⁴,高毒,,,,,
,,,3j：R = 4 - F,,1.2×10⁵,2.0×10⁵,,,,2.0×10⁵,1.2×10⁵,2.0×10⁵,高毒,,,,,
,,,3k：R = 3 - CF₃,,2.0×10⁵,6.4×10⁴,,,,5.1×10⁴,6.4×10⁴,6.4×10⁴,高毒,,,,,
,,,3l：R = 4 - Br,,5.0×10⁴,9.9×10⁴,,,,5.0×10⁴,5.0×10⁴,5.0×10⁴,高毒,,,,,
,,,3m：R = 3 - NO₂,,4.9×10⁴,4.9×10⁴,,,,4.9×10⁴,1.9×10⁵,4.9×10⁴,高毒,,,,,
,,,3n：R = 4 - NO₂,,1.2×10⁵,9.9×10⁴,,,,1.2×10⁵,1.9×10⁵,2.5×10⁵,高毒,,,,,
,,,3o：R = 4 - COOH,,2.0×10⁵,1.2×10⁵,,,,2.0×10⁵,1.2×10⁵,2.0×10⁵,高毒,,,多的MIC,,
1462,,,, S.aureus,B.subtilis,M.luteus,MRSA,,E.coli(DH52),E.coli JM109,S.dysenterie,P.Aeruginosa,,European Journal of Medicinal Chemistry 150 (2018) 228e247,, B.Proteus,,
