,smiles,化合物结构,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,细胞毒性,期刊名、卷、页码,文献原始数据截图,备注,,
4b,CC1=NC=C([N+](=O)[O-])N1CCN1N=C(C2=CC=CN=C2)N(C2=CC=CC=C2)C1=S,CC1=NC=C([N+](=O)[O-])N1CCN1N=C(C2=CC=CN=C2)N(C2=CC=CC=C2)C1=S,,ND,17.7,,,,ND,ND,,,中毒,,,,,
3c,COC1=CC=C(N2C(SCCN3C([N+](=O)[O-])=CN=C3C)=NN=C2C2=CC=NC=C2)C=C1,COC1=CC=C(N2C(SCCN3C([N+](=O)[O-])=CN=C3C)=NN=C2C2=CC=NC=C2)C=C1,,188,7.5,,,,376,ND,,,中毒,,,,,
3e,CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CN=CC=C2)N1C1=C2C=CC=CC2=CC=C1,CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CN=CC=C2)N1C1=C2C=CC=CC2=CC=C1,,250,7.7,,,,ND,ND,,,低毒,,,,,
,,,, ND：Not detectable at concentrations as high as 0.5mg/cm3,,,,,,,,,,,,,,
2424,,,,B.substilis,,,,,E.Coli,P.aeruginosa,,,," BMC chemistry, 2021, 15(1):5.",,,,
,[H]C1=C([H])C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C([H])C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T1,50,,,,,100,100,,,微毒,,,,,
,[H]C1=C(C=O)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C(C=O)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T2，R4=CHO,25,,,,,50,25,,,高毒,,,,,
,[H]C1=C(C)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C(C)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T3，R4=CH3,25,,,,,50,25,,,高毒,,,,,
,[H]C1=C(OC)C(OC)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C(OC)C(OC)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T4，R3，R4=OCH3,25,,,,,50,25,,,高毒,,,,,
,[H]C1=C(OC)C(OC)=C(OC)C=C1/C=N\N1C(S)=NN=C1CCCCCCCCCCCCCCC,[H]C1=C(OC)C(OC)=C(OC)C=C1/C=N\N1C(S)=NN=C1CCCCCCCCCCCCCCC,T5，R3，R4，R5=OCH3,12.5,,,,,12.5,6.2,,,微毒,,,,,
,[H]C1=C(OC)C(O)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C(OC)C(O)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T6，R3=OH，R4=OCH3,50,,,,,25,25,,,中毒,,,,,
,[H]C1=C([H])C([H])=C(O)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C([H])C([H])=C(O)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T7，R2=OH,50,,,,,50,12.5,,,高毒,,,,,
,[H]C1=C(O)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C(O)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T8，R4=OH,50,,,,,25,25,,,微毒,,,,,
,[H]C1=C(N(C)C)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C(N(C)C)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T9，R4=N(CH3)2,25,,,,,25,12.5,,,微毒,,,,,
,[H]C1=CC([H])=C(Cl)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=CC([H])=C(Cl)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T10，R2=Cl,25,,,,,50,25,,,微毒,,,,,
,[H]C1=C(Cl)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C(Cl)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T11，R4=Cl,25,,,,,50,50,,,微毒,,,,,
,[H]C1=C(Cl)C([H])=C(Cl)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C(Cl)C([H])=C(Cl)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T12，R2，R4=Cl,50,,,,,50,25,,,微毒,,,,,
,[H]C1=C([H])C(Br)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C([H])C(Br)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T13，R3=Br,50,,,,,100,100,,,微毒,,,,,
,[H]C1=C(Br)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C(Br)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T14，R4=Br,25,,,,,50,50,,,微毒,,,,,
,[H]C1=C([H])C([H])=C([N+](=O)[O-])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C([H])C([H])=C([N+](=O)[O-])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T15，R2=NO2,25,,,,,100,50,,,微毒,,,,,
,[H]C1=C([H])C([N+](=O)[O-])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C([H])C([N+](=O)[O-])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T16，R3=NO2,50,,,,,100,50,,,微毒,,,,,
,[H]C1=C([N+](=O)[O-])C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,[H]C1=C([N+](=O)[O-])C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,"T17, R1=H,R2=4-NO2",25,,,,,100,100,,,微毒,,,,,
,CCCCCCCCCCCCCCCC1=NN=C(S)N1/N=C/C1=CC=C(OC2=CC=CC=C2)C=C1,CCCCCCCCCCCCCCCC1=NN=C(S)N1/N=C/C1=CC=C(OC2=CC=CC=C2)C=C1,T18，R1=C12H10O,50,,,,,50,25,,,微毒,,,,,
,CCCCCCCCCCCCCCCC1=NN=C(S)N1/N=C/C1=CC=C2CC=CCC2=C1,CCCCCCCCCCCCCCCC1=NN=C(S)N1/N=C/C1=CC=C2CC=CCC2=C1,T19，R1=C10H10,50,,,,,25,100,,,微毒,,,,,
,CCCCCCCCCCCCCCCC1=NN=C(S)N1/N=C/C1=CC=C(O)C=C1,CCCCCCCCCCCCCCCC1=NN=C(S)N1/N=C/C1=CC=C(O)C=C1,T20，R1=C6H6O,25,,,,,25,50,,,微毒,,,,,
2441,,,,S.aureus,B.S.,B.C.,,,E.Coli,P.A.,S.T.,,,"Letters in Organic Chemistry, 2020, 17(3): 191-198.",,,,
,,,,,,,,,,,,,,,,,,
,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1[H],[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1[H],"6a，R1=H, R2=H, R3 =H, R4=H",250,125,125,,,125,125,125,,微毒,,,,,
,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C(O)C([H])=C1[H],[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C(O)C([H])=C1[H],"6b，R1=OH, R2=H, R3=H, R4=H",250,125,125,,,125,125,125,,中毒,,,,,
,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C(O)=C1[H],[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C(O)=C1[H],"6c，R1=H, R2=OH, R3 =H, R4=H",250,125,125,,,125,125,125,,中毒,,,,,
,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C(OC)C([H])=C1[H],[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C(OC)C([H])=C1[H],"6d，R1=OCH3, R2=H, R3 =H, R4=H",250,125,125,,,125,125,125,,微毒,,,,,
,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1OC,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1OC,"6e，R1=H, R2=H, R3 =OCH3, R4=H",250,125,125,,,125,125,125,,微毒,,,,,
,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1Cl,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1Cl,"6f，R1=H, R2=H, R3 =Cl, R4=H",250,125,125,,,125,125,125,,微毒,,,,,
,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1F,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1F,"6g，R1=H, R2=H, R3 =F, R4=H",250,250,125,,,125,125,125,,微毒,,,,,
,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1C,[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1C,"6h，R1=H, R2=H, R3 =CH3, R4=H",250,250,125,,,125,125,125,,微毒,,,,,
,[H]C1=C([H])C(O)=C(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)C=C1Cl,[H]C1=C([H])C(O)=C(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)C=C1Cl,"6i，R1=OH, R2=H, R3 =H, R4=Cl",125,125,72.5,,,72.5,72.5,72.5,,中毒,,,,,
,[H]C1=C([H])C(O)=C(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)C=C1OC,[H]C1=C([H])C(O)=C(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)C=C1OC,"6j，R1=OH, R2=H, R3 =H, R4=OCH3",125,125,125,,,125,125,125,,中毒,,,,,
,[H]N1N=C(CC2=C(C)N([H])C3=CC=C(F)C=C32)N(/N=C/C2=CC(OC)=C(O)C=C2)C1=S,[H]N1N=C(CC2=C(C)N([H])C3=CC=C(F)C=C32)N(/N=C/C2=CC(OC)=C(O)C=C2)C1=S,"6k， R1=H, R2=OCH3, R3 =OH, R4=H",250,250,125,,,125,125,125,,微毒,,,,,
,[H]N1N=C(CC2=C(C)N([H])C3=CC=C(F)C=C32)N(/N=C/C2=CC(OC=O)=C(OC=O)C=C2)C1=S,[H]N1N=C(CC2=C(C)N([H])C3=CC=C(F)C=C32)N(/N=C/C2=CC(OC=O)=C(OC=O)C=C2)C1=S,"6l，R1=H, R2,R3=OCH2O, R4=H",250,250,125,,,125,125,125,,微毒,,,,,
2555,,,,S.aureus,S.P. MTCC 442,,,,"E.Coli MTCC
443",P.A.MTCC 1688,,,, Bioorganic & Medicinal Chemistry 25.15 (2017): 4064-4075.,,,,
,,,,,,,,,,,,,,,,,,
,SC1=NN=C(C2=CC=C(N)C=C2)N1N,SC1=NN=C(C2=CC=C(N)C=C2)N1N,S1,250,250,,,,200,1000,,,高毒,,,,,
,SC1=NN=C(C2=CC=C(N)C=C2)O1,SC1=NN=C(C2=CC=C(N)C=C2)O1,S2,62.5,100,,,,250,500,,,高毒,,,,,
,SC1=NN=C(C2=CC=C(N=CC3=CC=CS3)C=C2)N1N=CC4=CC=CS4,SC1=NN=C(C2=CC=C(N=CC3=CC=CS3)C=C2)N1N=CC4=CC=CS4,SS1,250,200,,,,250,1000,,,高毒,,,,,
,OC1=CC=C(C=NC2=CC=C(C3=NN=C(S)N3N=CC4=CC=C(O)C=C4)C=C2)C=C1,OC1=CC=C(C=NC2=CC=C(C3=NN=C(S)N3N=CC4=CC=C(O)C=C4)C=C2)C=C1,SS2,250,200,,,,250,NA,,,微毒,,,,,
,O=[N+](C1=CC(C=NC2=CC=C(C3=NN=C(S)N3N=CC4=CC=CC([N+]([O-])=O)=C4)C=C2)=CC=C1)[O-],O=[N+](C1=CC(C=NC2=CC=C(C3=NN=C(S)N3N=CC4=CC=CC([N+]([O-])=O)=C4)C=C2)=CC=C1)[O-],SS3,125,62.4,,,,250,500,,,高毒,,,,,
,SC1=NN=C(C2=CC=C(N=CC3=CC=C(Cl)C=C3)C=C2)N1N=CC4=CC=C(Cl)C=C4,SC1=NN=C(C2=CC=C(N=CC3=CC=C(Cl)C=C3)C=C2)N1N=CC4=CC=C(Cl)C=C4,SS4,250,100,,,,100,NA,,,高毒,,,,,
,SC1=NN=C(C2=CC=C(N=CC3=CC=C(OC)C=C3)C=C2)N1N=CC4=CC=C(OC)C=C4,SC1=NN=C(C2=CC=C(N=CC3=CC=C(OC)C=C3)C=C2)N1N=CC4=CC=C(OC)C=C4,SS5,250,100,,,,250,500,,,高毒,,,,,
,SC1=NN=C(C2=CC=C(N=CC3=CC=CS3)C=C2)O1,SC1=NN=C(C2=CC=C(N=CC3=CC=CS3)C=C2)O1,SS6,200,100,,,,250,NA,,,高毒,,,,,
,OC1=CC=C(C=NC2=CC=C(C3=NN=C(S)O3)C=C2)C=C1,OC1=CC=C(C=NC2=CC=C(C3=NN=C(S)O3)C=C2)C=C1,SS7,200,200,,,,250,NA,,,高毒,,,,,
,SC1=NN=C(C2=CC=C(N=CC3=CC=CC([N+]([O-])=O)=C3)C=C2)O1,SC1=NN=C(C2=CC=C(N=CC3=CC=CC([N+]([O-])=O)=C3)C=C2)O1,SS8,125,100,,,,200,500,,,高毒,,,,,
,SC1=NN=C(C2=CC=C(N=CC3=CC=C(Cl)C=C3)C=C2)O1,SC1=NN=C(C2=CC=C(N=CC3=CC=C(Cl)C=C3)C=C2)O1,SS9,250,125,,,,125,NA,,,高毒,,,,,
,SC1=NN=C(C2=CC=C(N=CC3=CC=C(OC)C=C3)C=C2)O1,SC1=NN=C(C2=CC=C(N=CC3=CC=C(OC)C=C3)C=C2)O1,SS10,250,250,,,,125,1000,,,高毒,,,,,
,,,,NA: Not active; NT: Not tested,,,,,,,,,,,,,,
2560,,,, S.aureus,S.pyogenes,,,,E.coli,P.aeruginosa,,,, Medicinal Chemistry Research 22 (2013): 1320-1329.,,,,
,,,,,,,,,,,,,,,,,,
,ClC1=CC=C(C2=NN=C(C3=CC=CN=C3)O2)C=C1,ClC1=CC=C(C2=NN=C(C3=CC=CN=C3)O2)C=C1,,500,250,,,,500,500,,,,,,,,
,FC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,FC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,9a，R1=6-F,200,500,,,,500,62.5,,,微毒,,,,,
,BrC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,BrC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,"9b，R1=6-Br,",100,1000,,,,500,500,,,中毒,,,,,
,O=[N+](C1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1)[O-],O=[N+](C1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1)[O-],9c，R1=6-NO2,500,100,,,,250,125,,,中毒,,,,,
,CC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,CC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,9d，R1=6-CH3,1000,500,,,,500,500,,,微毒,,,,,
,COC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,COC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,9e，R1=6-OCH3,250,500,,,,500,250,,,中毒,,,,,
,ClC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,ClC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,9f，R1=6-Cl,100,500,,,,1000,500,,,中毒,,,,,
,CC1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1,CC1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1,9g，R1=4-CH3,200,1000,,,,500,250,,,中毒,,,,,
,O=[N+](C1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1)[O-],O=[N+](C1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1)[O-],9h，R1=4-NO2,100,250,,,,100,125,,,中毒,,,,,
,ClC1=C(Cl)C=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,ClC1=C(Cl)C=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,"9i，R1=5-Cl,6-Cl",250,500,,,,500,250,,,中毒,,,,,
,ClC1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1,ClC1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1,9j，R1=4-Cl,200,500,,,,100,62.5,,,中毒,,,,,
1596,,,,,,,,,,,,,,Journal of Heterocyclic Chemistry，2020，57，4312–4321,,,,
,,,,S.aa,B.sb,S.ac,M.ld,,E.cf,P.ag,K.pe,,,,,,,
,O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(C4=CC=CC=C4)=C3,O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(C4=CC=CC=C4)=C3,6a,15.6,3.9,3.9,7.8,,15.6,7.8,7.8,,低毒,,,,,
,O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(C4=CC=CC(O)=C4)=C3,O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(C4=CC=CC(O)=C4)=C3,6b,15.6,3.9,3.9,7.8,,/,7.8,7.8,,低毒,,,,,
,O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(C4=CC=C5C=C(OC)C=CC5=C4)=C3,O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(C4=CC=C5C=C(OC)C=CC5=C4)=C3,6c,/,62.5,/,31.2,,31.2,15.6,31.2,,低毒,,,,,
,O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(CO)=C3,O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(CO)=C3,6d,/,31.2,/,31.2,,3.9,31.2,15.6,,低毒,,,,,
1933,,,,S.aureus 144,S.aureus ATCC 29213,S.aureus AD3,MRSA ATCC 43300,,E. coli ATCC 25922,,,,,European Journal of Medicinal Chemistry，2020，204，112604,,,,
,,,,0.5,0.25,0.5,0.25,,>32,,,,低毒,,,,,
,,,,1,0.5,1,0.5,,>32,,,,低毒,,,,,
,,,,0.5,0.5,1,0.5,,>32,,,,低毒,,,,,
,,,,0.5,0.5,0.5,0.5,,>32,,,,低毒,,,,,
,,,,1,1,1,1,,>32,,,,低毒,,,,,
,,,,0.25,0.25,0.25,0.25,,>32,,,,低毒,,,,,
,,,,0.5,0.25,0.25,0.25,,>32,,,,低毒,,,,,
,,,,1,0.5,0.5,0.5,,>32,,,,低毒,,,,,
,,,,,,,,,,,,,低毒,,,,,
,,,,0.5,0.25,0.5,0.25,,>32,,,,低毒,,,,,
,,,,1,0.5,0.5,0.5,,>32,,,,低毒,,,,,
,,,,1,1,2,1,,>32,,,,低毒,,,,,
,,,,1,1,2,1,,>32,,,,低毒,,,,,
,,,,1,0.5,1,1,,>32,,,,低毒,,,,,
,,,,1,0.5,0.5,1,,>32,,,,低毒,,,,,
,,,,1,0.5,0.5,1,,>32,,,,低毒,,,,,
,,,,1,0.5,0.5,1,,>32,,,,低毒,,,,,
,,,,2,1,2,1,,>32,,,,低毒,,,,,
,,,,2,1,2,2,,>32,,,,低毒,,,,,
,,,,2,1,2,0.5,,>32,,,,低毒,,,,,
,,,,1,1,1,0.5,,>32,,,,低毒,,,,,
,,,,1,0.5,1,1,,>32,,,,低毒,,,,,
,,,,1,1,1,0.5,,>32,,,,低毒,,,,,
,,,,0.5,0.25,0.25,0.25,,>32,,,,低毒,,,,,
,,,,2,2,2,2,,>32,,,,低毒,,,,,
,,,,0.5,0.25,0.5,0.5,,>32,,,,低毒,,,,,
,,,,0.25,0.25,0.25,0.125,,>32,,,,低毒,,,,,
,,,,0.25,0.125,0.25,0.125,,>32,,,,低毒,,,,,
1934,,,,S.aureus 144,"S.aureus ATCC 29,213",S.aureus AD3,"MRSA ATCC 43,300",,"E. coli ATCC 25,922",,,,,Bioorganic Chemistry，2020，105，104398,,,,
化合物49,,,,2,2,4,2,,>32,,,,低毒,,,,,
化合物59,,,,1,1,1,1,,>32,,,,低毒,,,,,
化合物61,,,,2,1,1,1,,>32,,,,低毒,,,,,
1951,,,,S. aureus,P. aeruginosa,,,,,,,,,Molecules，2020，25，790,,,,
,,,,5,5,,,,,,,,高毒,,,,,
,,,,10,10,,,,,,,,高毒,,,,,
,,,,10,10,,,,,,,,高毒,,,,,
,,,,10,10,,,,,,,,微毒,,,,,
,,,,5,10,,,,,,,,低毒,,,,,
,,,,5,10,,,,,,,,,,,,,
1961,,,,S. aureus ,E. faecalis ,E. faecium VRE,,,E. coli ,P. aeurigonsa ,A. baumannii ,K. pneumoniae ESBL,,"European Journal of Medicinal Chemistry,2016,124,794 - 808",,,,
,,,,,,,,,,,,,,,,,,
,O=C1C=C(CN2N=NC(C(C)(C)C)=C2)C3=C(O1)C=C(O)C=C3,O=C1C=C(CN2N=NC(C(C)(C)C)=C2)C3=C(O1)C=C(O)C=C3,,>256,128,>256,,,>256,>256,>256,>256,微毒,,,,,
,O=C1C=C(C2=C(C=C(C=C2)O)O1)CN3N=NC(CCCCCCCC)=C3,O=C1C=C(C2=C(C=C(C=C2)O)O1)CN3N=NC(CCCCCCCC)=C3,,>256,256,>256,,,>256,>256,>256,>256,中毒,,,,,
,O=C1C=C(CN2N=NC(C3=CC=C(Br)C=C3)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(C3=CC=C(Br)C=C3)=C2)C4=C(O1)C=C(O)C=C4,,>256,256,>256,,,>256,>256,>256,>256,中毒,,,,,
,O=C1C=C(CN2N=NC(C3=CC=C(CCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(C3=CC=C(CCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,,>256,64,256,,,>256,>256,>256,>256,中毒,,,,,
,O=C1C=C(CN2N=NC(C3=CC=C(CCCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(C3=CC=C(CCCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,,>256,8,64,,,>256,>256,>256,>256,中毒,,,,,
,O=C1C=C(CN2N=NC(C3=CC=C(CCCCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(C3=CC=C(CCCCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,,>256,16,>256,,,>256,>256,>256,>256,高毒,,,,,
,O=C1C=C(CN2N=NC(C3=CC=C(C4CCC(CCC)CC4)C=C3)=C2)C5=C(O1)C=C(O)C=C5,O=C1C=C(CN2N=NC(C3=CC=C(C4CCC(CCC)CC4)C=C3)=C2)C5=C(O1)C=C(O)C=C5,,>256,64,>256,,,>256,>256,>256,>256,中毒,,,,,
,O=C1C=C(CN2N=NC(CNS(=O)(C3=CC=C(C)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(CNS(=O)(C3=CC=C(C)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,,256,64,128,,,>256,>256,>256,>256,中毒,,,,,
,O=C1C=C(CN2N=NC(CNS(=O)(C3=CC=C(F)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(CNS(=O)(C3=CC=C(F)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,,>256,32,64,,,>256,>256,>256,>256,微毒,,,,,
,O=C1C=C(CN2N=NC(CNS(=O)(C3=C(Cl)C=C(F)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(CNS(=O)(C3=C(Cl)C=C(F)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,,>256,32,64,,,>256,>256,>256,>256,微毒,,,,,
,O=C1C=C(CN2N=NC(CNS(=O)(C3=CC=C([N+]([O-])=O)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(CNS(=O)(C3=CC=C([N+]([O-])=O)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,,>256,256,>256,,,>256,>256,>256,>256,微毒,,,,,
,O=C1C=C(CN2N=NC(CSC(N3CCOCC3)=S)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(CSC(N3CCOCC3)=S)=C2)C4=C(O1)C=C(O)C=C4,,>256,32,>256,,,>256,>256,>256,>256,中毒,,,,,
,O=C1C=C(CN2N=NC(CSC(N3CCNCC3)=S)=C2)C4=C(O1)C=C(O)C=C4,O=C1C=C(CN2N=NC(CSC(N3CCNCC3)=S)=C2)C4=C(O1)C=C(O)C=C4,,>256,16,64,,,>256,>256,>256,>256,微毒,,,,,
1972,,,,S.aureus ,,,,,E. Coli,P.aeruginosa,,,,European Journal of Medicinal Chemistry，2019，168.263–282,,,,
